상품ID,상품명,브랜드ID,브랜드명,매입과세구분,대분류,중분류,소분류,세분류,카테고리,협력사ID,협력사명,매입형태,배송방식,판매단가
11096645,에버홈 글라스텐 블렌더 + 전동 다지기,27446,에버홈글라스텐블렌더,과세,가전,주방가전,믹서기/회전조리기,일반믹서기,가전,101239,주식회사에버홈,위탁매입,협력사배송,118000
11096646,[아리향] 천중도 햇복숭아(3kg+3kg),44251,아리향복숭아,면세,식품,농산물,청과,복숭아,상생_식품,101706,산업회사법익스햇살여문(주),위탁매입,협력사배송,34900
11096649,[까사메르]소프트 시어서커 침구세트 SS+SS 완벽더블,44134,까사메르시어서커19,과세,침구/침장,침구류,침구,시어서커세트,침구,102171,주식회사느티나무,위탁매입,협력사배송,34800
11096650,[까사메르]소프트 시어서커 침구세트 Q+Q 완벽더블,44134,까사메르시어서커19,과세,침구/침장,침구류,침구,시어서커세트,침구,102171,주식회사느티나무,위탁매입,협력사배송,54800
11096651,[까사메르]소프트 시어서커 침구세트 K+K 완벽더블,44134,까사메르시어서커19,과세,침구/침장,침구류,침구,시어서커세트,침구,102171,주식회사느티나무,위탁매입,협력사배송,74800
11096654,목우촌 오븐그릴 윙봉세트(마일드윙300g*3팩 +오븐그릴핫봉 300g*8팩),44204,목우촌오븐그릴윙봉세트,과세,식품,가공식품,냉동식품,세트,가공축산,100002,산협경제지주㈜,위탁매입,협력사배송,50900
11096655,제주양배추브로콜리진액 1박스(30포)_2,20778,제주양배추브로콜리,과세,식품,건강식품,기타,기타,건강식품,100883,홀푸드코리아주식회사,위탁매입,직택배,40000
11096656,[게릴라]퓨어리스트오메가3 6개월분_3,24638,퓨어리스트오메가3,과세,식품,건강식품,건강기능식품,EPA/DHA 함유제품,건강식품,100883,홀푸드코리아주식회사,위탁매입,협력사배송,19900
11096660,동결건조 자연조미료 자연한알+마늘한알_D,37533,자연한알,과세,식품,가공식품,수산가공식품,수산가공 기타,가공수산,105145,(주)트루나스,직매입,당사배송,59000
11096773,[위즈홈] 이동식 트롤리 4단,42869,위즈홈트롤리,과세,생활용품,수납용품,선반류,화분받침대/화분대,생활용품,102249,(주)규쥬아이앤씨,위탁매입,협력사배송,29000
11096774,[위즈홈] 이동식 트롤리 4단+4단+4단,42869,위즈홈트롤리,과세,생활용품,수납용품,선반류,화분받침대/화분대,생활용품,102249,(주)규쥬아이앤씨,위탁매입,협력사배송,49800
11096775,[쿠셔니]실크벽지_30m_색상추가,42641,쿠셔니실크벽지,과세,생활용품,DIY용품,도배/장판/시트지,시트지,생활용품,106814,(주)큐원,위탁매입,협력사배송,80800
11096776,[쿠셔니]실크벽지_20m_색상추가,42641,쿠셔니실크벽지,과세,생활용품,DIY용품,도배/장판/시트지,시트지,생활용품,106814,(주)큐원,위탁매입,협력사배송,59800
11096781,마마포레스트 천연주방세제 세트,44273,마마포레스트(상생),과세,생활용품,일용잡화,비누/세제류,클리너,상생_공산품,100501,한국여성경제익스협회,위탁매입,협력사배송,49900
11096782,미사용[하우스포크인제주]제주흑돼지모듬세트4kg(16팩)_3,44281,하우스포크인제주,면세,식품,축산물,돈육,돼지고기,신선축산,100002,산협경제지주㈜,위탁매입,협력사배송,30900
11096783,천화밀 1등급 천연 벌꿀세트,44306,천화밀1등급벌꿀,면세,식품,축산물,꿀,잡화꿀,신선축산,107260,모트,위탁매입,직택배,60900
11096784,[가자제주닷컴] 제주여행 2박 3일 패키지_9,42733,제주여행2박3일(가자제주),과세,문화/서비스,무형상품,소개방송,국내여행,문화서비스,106797,(주)규자제주닷컴,위탁매입,협력사배송,0
